Group/Investment,ISIN,Exchange,Inception Date,Price_2023_03,Price_2023_04,Price_2023_05,Price_2023_06,Price_2023_07,Price_2023_08,Price_2023_09,Price_2023_10,Price_2023_11,Price_2023_12,Price_2024_01,Price_2024_02,Price_2024_03,Price_2024_04,Price_2024_05,Price_2024_06,Price_2024_07,Price_2024_08,Price_2024_09,Price_2024_10,Price_2024_11,Price_2024_12,Price_2025_01,Price_2025_02,Price_2025_03,Price_2025_04,Price_2025_05,Price_2025_06,Price_2025_07,Price_2025_08,Price_2025_09,Price_2025_10,Price_2025_11,Price_2025_12,Price_2026_01,Price_2026_02,Price_2026_03,Price_2026_04
Unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adyen NV,NL0012969182,XETRA,2020-01-17,129769.830949,131256.021197,135722.652154,141394.590548,154542.298978,69644.462941,61851.668458,55689.470124,97523.672682,108615.60988,105703.526233,131684.02266,141254.52302,101258.667654,107253.510829,99880.895986,102363.024412,123232.491255,130917.825216,127492.760637,123318.70663,126418.845525,140790.237019,158601.343158,129443.634891,132050.876719,164182.4467,156922.981571,151634.237333,145954.304153,142385.831786,152603.762408,138999.376204,145608.301459,138104.909705,106598.694744,93143.898635,105618.438652
AIA Group Ltd,HK0000069689,XETRA,2010-11-17,465.989231,471.520632,460.317469,467.108728,473.275589,468.938785,458.854098,459.297321,474.879686,479.743456,470.785717,468.287622,470.097791,465.611442,472.926726,466.426625,472.855925,484.518888,488.11268,476.431847,465.769525,462.67879,469.931087,474.948594,481.859009,501.21711,507.022597,525.391994,523.260437,538.938385,544.483922,534.738174,541.775761,550.913241,571.132745,560.599141,570.36021,577.438332
Airbus SE,NL0000235190,XETRA,1998-11-10,11014.453245,11488.515732,10808.067192,11848.218696,12153.361641,12165.991849,11164.072297,11111.492569,12394.732873,12876.501889,13332.463882,13730.096176,15381.088095,13796.158913,14127.088829,11462.709126,12686.201698,12887.701097,12266.88238,12787.617006,13172.558329,13693.306367,15074.892224,15077.502028,15032.819282,14127.042884,15740.14202,17840.576593,17651.893563,18498.835465,20590.026203,21864.940847,21244.378148,20913.380227,21170.979264,19794.445251,17570.897598,18370.925575
Alcon Inc,CH0432492467,XETRA,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,7338.663919,7546.155183,7762.181073,7040.586145,6645.645871,6692.680113,7112.947914,7211.801621,7465.544327,7907.895916,7011.747667,7123.104002
Anheuser-Busch InBev SA/NV,BE0974293251,XETRA,2008-11-28,5481.333371,5337.696677,4410.897995,4622.756426,4716.432913,4717.242039,4612.279356,4717.060048,5238.326028,5374.707777,5185.949585,4996.922337,5083.793699,5038.845418,5217.689383,4842.114303,4979.528962,5132.05674,5551.70889,5024.489149,4549.708832,4277.496,4295.020661,5245.456403,5258.993897,5529.810532,6017.432396,5871.021481,5149.388012,5524.660586,5291.478157,5418.079063,5508.070875,5786.752998,6572.568048,7392.30368,6517.777912,7058.931894
ASML Holding NV,NL0010273215,XETRA,2007-12-28,55849.063753,51452.577142,59244.154829,59330.595059,59152.647356,55169.268798,49182.407015,49722.741182,56678.014288,62985.287652,71975.459619,78089.80984,80310.249155,74396.125953,78890.593552,86207.151278,76994.245128,75300.492434,69863.991596,56689.821248,58749.967126,60026.788432,65091.623395,61718.74623,55969.137996,55970.364329,63593.982018,68465.049888,61459.79072,65769.277144,86351.665423,94047.934413,93801.22206,97272.763371,132983.428109,132034.578374,122093.586243,129804.684922
AstraZeneca PLC,GB0009895292,XETRA,2003-12-02,11491.246211,12007.107115,11964.373385,11742.606836,11825.088479,11285.440002,11332.878556,10446.175891,10732.335504,11223.735584,11163.006803,10592.326843,11344.858548,12632.799418,12989.853648,13061.554177,13286.89815,14645.114883,13037.537388,11986.108744,11427.819065,11263.334028,12277.276041,13222.845513,12441.176749,12129.473258,12401.117942,11944.387839,13149.186873,14074.976409,13385.186268,14544.181599,16547.050461,16662.512966,17191.982024,17261.598393,17562.15477,17780.099614
Barry Callebaut AG,CH0009002962,XETRA,2007-05-22,141609.296742,143290.232391,139885.707249,141949.500322,143823.545464,142505.635691,139441.003801,139575.694716,144311.014064,145789.063363,143066.899305,142307.754115,142857.845625,141494.49066,143717.529718,141742.216387,143696.014089,147240.267539,148332.383764,144782.699678,141542.530551,140603.28822,142807.185924,144331.954469,146431.957872,152314.683983,154078.911518,159661.18089,159013.422646,163777.788585,165463.019646,162501.387927,164640.037834,167416.823339,173561.320755,170360.267899,173326.555479,175477.523258
Bayer AG,DE000BAY0017,XETRA,1996-12-16,5242.936888,5399.13259,4598.764676,4535.044881,4818.904922,4541.131669,3995.96067,3578.277268,2853.463683,3091.353216,2606.95674,2520.444397,2560.812453,2440.021639,2559.005699,2357.603826,2491.123523,2586.916806,2836.178775,2263.484892,1730.281578,1712.239539,1948.516711,2066.695262,2037.675479,2211.732139,2402.989834,2570.58528,2742.129325,2897.607029,2945.158288,2761.294076,3164.597449,3906.744408,4876.350853,4512.506213,4304.203271,4051.694137
British American Tobacco PLC,GB0002875804,XETRA,2003-12-29,2904.508463,3017.587492,2628.369531,2726.21802,2776.719396,2767.448663,2623.970213,2485.257011,2664.203337,2445.138137,2487.433637,2471.094293,2545.499822,2475.707513,2586.190604,2575.668774,2950.932647,3130.480341,3070.461639,2920.301742,3208.356856,3092.208508,3436.016529,3407.180565,3517.690791,3686.860478,3856.830257,4067.031342,4682.17329,4992.847464,4720.808095,4564.588167,5242.321507,5061.561588,5548.271729,5692.997603,5486.124265,5496.672986
Diageo PLC,GB0002374006,XETRA,2016-05-17,3732.199624,3785.536404,3478.620614,3572.902934,3623.700427,3453.919695,3115.882203,3178.735242,2922.616502,3051.826547,3030.925483,3118.926566,3093.151588,2910.629103,2805.482169,2637.781536,2602.564946,2739.170299,2941.863261,2615.399966,2527.417696,2714.104457,2611.678706,2383.388328,2233.872144,2359.148936,2341.29998,2154.318582,2175.656539,2457.699476,2128.275915,2044.074836,2060.595682,1926.454619,2117.53566,2035.515181,1748.565503,1869.289253
GEA Group AG,DE0006602006,XETRA,2000-01-03,3745.592685,3843.35844,3465.390566,3428.805396,3499.464451,3270.621147,3073.680639,2836.396369,3068.201384,3464.558511,3355.667499,3344.142494,3530.011961,3381.236567,3468.793845,3476.527249,3700.217664,3936.309801,4111.407056,4133.518689,4223.072223,4239.375311,4596.662573,5068.90912,5161.126384,5502.920172,5722.09829,5979.744101,6326.448278,6423.063335,6556.967708,6352.513273,6062.407446,6101.319287,6609.775393,7078.651737,6688.263049,6627.429788
GSK PLC,GB00BN7SWP63,XETRA,2003-12-01,1450.022055,1488.375339,1379.453002,1442.0494,1457.460292,1463.333407,1522.069772,1470.033042,1489.515322,1538.047042,1659.972939,1737.841476,1802.386816,1743.254948,1876.66459,1614.93181,1625.41393,1829.827032,1708.721722,1533.181236,1444.876147,1449.916002,1525.767822,1636.247504,1627.73986,1687.370112,1747.717288,1644.429628,1659.815392,1736.911982,1892.496328,2081.984995,2128.071107,2220.964668,2365.949404,2689.67283,2587.876944,2592.331885
Imperial Brands PLC,GB0004544929,XETRA,2007-12-27,1906.278995,2032.805945,1755.186365,1834.782318,1976.893626,1909.359873,1714.438571,1808.499701,1965.395904,1930.372214,2020.616989,1812.494725,1891.560377,1926.145053,2054.272635,2132.389207,2304.934804,2399.849253,2432.613683,2527.763527,2762.13198,2726.072581,2922.775066,3091.397537,3159.458763,3456.371675,3249.646652,3378.454748,3419.891454,3726.82244,3777.689749,3537.940054,3827.413742,3781.129011,3877.224208,4092.513371,3881.815417,3539.423688
