Date,Open,High,Low,Close,Previous Close,Change,Percent Change,Index Name,Fund Name
2025-06-02,24669.7,24754.4,24526.15,24716.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-03,24786.3,24845.1,24502.15,24542.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-04,24560.45,24644.25,24530.45,24620.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-05,24691.2,24899.85,24613.1,24750.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-06,24748.7,25029.5,24671.45,25003.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-09,25160.1,25160.1,25077.15,25103.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-10,25196.05,25199.3,25055.45,25104.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-11,25134.15,25222.4,25081.3,25141.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-12,25164.45,25196.2,24825.9,24888.2,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-13,24473.0,24754.35,24473.0,24718.6,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-16,24732.35,24967.1,24703.6,24946.5,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-17,24977.85,24982.05,24813.7,24853.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-18,24788.35,24947.55,24750.45,24812.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-19,24803.25,24863.1,24733.4,24793.25,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-20,24787.65,25136.2,24783.65,25112.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-23,24939.75,25057.0,24824.85,24971.9,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-24,25179.9,25317.7,24999.7,25044.35,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-25,25150.35,25266.8,25125.05,25244.75,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-26,25268.95,25565.3,25259.9,25549.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-27,25576.65,25654.2,25523.55,25637.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-06-30,25661.65,25669.35,25473.3,25517.05,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-01,25551.35,25593.4,25501.8,25541.8,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-02,25588.3,25608.1,25378.75,25453.4,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-03,25505.1,25587.5,25384.35,25405.3,0.0,0.0,0.0,NIFTY 50,NIFTY 50
2025-07-04,25428.85,25470.25,25331.65,25461.0,0.0,0.0,0.0,NIFTY 50,NIFTY 50
